question,answer,category
Какие российские акции самые ликвидные?,"На Московской бирже самые ликвидные акции (голубые фишки): Сбербанк (SBER), Газпром (GAZP), Лукойл (LKOH), Норникель (GMKN), Роснефть (ROSN), ВТБ (VTBR), Яндекс (YNDX), Полюс (PLZL), Татнефть (TATN), МТС (MTSS). Эти акции имеют наибольший объем торгов и минимальные спреды.",stocks
Как купить акции иностранных компаний на Московской бирже?,"На Московской бирже доступны депозитарные расписки на иностранные акции через секцию 'Иностранные ценные бумаги'. Также можно инвестировать через ETF от FinEx, ITI Funds, Альфа-Капитала, которые торгуются в рублях и повторяют индексы S&P 500, NASDAQ и другие.",foreign_stocks
Какие комиссии берут российские брокеры?,"Средние комиссии на российском рынке: 0.03-0.05% за сделки с акциями, 0.01% за облигации. У крупных брокеров (Тинькофф, ВТБ, Сбер) есть тарифы с фиксированной месячной платой. Дополнительно взимается комиссия биржи 0.0001% и налог на доход 13%.",fees
Как работает ИИС и какие есть типы?,"ИИС (Индивидуальный инвестиционный счет) дает налоговые льготы: Тип А - вычет 13% с внесенной суммы (до 52 000 руб/год), Тип Б - освобождение от налога на доход после 3 лет владения. Минимальный срок - 3 года. Максимальная сумма взносов - 1 млн руб/год.",iis
Какие дивидендные акции самые выгодные?,"Высокие дивиденды обычно у: Норникель (дивидендная доходность 10-15%), Татнефть (8-12%), Сургутнефтегаз (7-10%), МТС (8-10%), ФСК ЕЭС (6-8%). Дивидендные выплаты объявляются на собраниях акционеров, обычно 1-2 раза в год.",dividends
Как купить облигации и какие самые надежные?,"ОФЗ (Облигации Федерального Займа) - самые надежные, выпускаются Минфином. Корпоративные облигации: Газпром, РЖД, Сбербанк, ВТБ имеют высокий кредитный рейтинг. Доходность ОФЗ 8-10%, корпоративных 10-12% годовых. НКД (накопленный купонный доход) включается в цену.",bonds
Что такое ETF и какие доступны в России?,"ETF (биржевые инвестиционные фонды) повторяют индексы: FXRL - индекс Мосбиржи, FXGD - золото, FXRB - российские облигации, FXIT - IT сектор США. ITI Funds и Альфа-Капитал также предлагают ETF на зарубежные рынки. Комиссия за управление 0.5-1% годовых.",etf
Как платить налоги с инвестиций?,"Налог 13% уплачивается с: продажи ценных бумаг с прибылью, дивидендов, купонов по облигациям. Брокер выступает налоговым агентом - автоматически удерживает налог. Можно получить налоговый вычет при долгосрочном владении (более 3 лет).",taxes
Какие акции роста на российском рынке?,"Акции роста с потенциалом: Яндекс (технологии), Ozon (e-commerce), Positive Technologies (кибербезопасность), HeadHunter (HR-tech), AstroSoft (IT). Эти компании демонстрируют высокие темпы роста выручки и расширяют доли рынка.",growth_stocks
Как начать инвестировать с маленькой суммой?,"Можно начать с 1000-5000 рублей: ETF на индекс Мосбиржи (FXRL), облигации (ОФЗ), акции Сбербанка или Газпрома. Регулярные инвестиции (долларовая стоимость усреднения) снижают риски. Микро-лоты позволяют покупать дробные акции.",beginner
Что влияет на курс рубля к доллару?,"Основные факторы: цены на нефть (основной экспорт), геополитическая ситуация, действия ЦБ РФ, санкции, торговый баланс, ставки ФРС США. При росте нефти рубль обычно укрепляется, при санкциях - ослабевает.",currency
Как работает маржинальная торговля?,"Маржинальная торговля (плечо) позволяет торговать на заемные средства брокера. Плечо 1:3-1:5 на российском рынке. Риск маржин-колла при падении стоимости портфеля. Требуется опыт и понимание рисков. Начинающим не рекомендуется.",margin
Какие дивидендные стратегии самые эффективные?,"Эффективные стратегии: 'Дивидендный кэтч' - покупка перед отсечкой и продажа после, 'Дивидендные аристократы' - компании стабильно растущие дивиденды, 'REITs' - фонды недвижимости с высокими выплатами. Важно учитывать налоговые последствия.",strategies
Как анализировать финансовые отчеты компаний?,"Ключевые показатели: Выручка (рост), Чистая прибыль (маржа), EBITDA, Долг/EBITDA, ROE (рентабельность капитала), P/E (цена/прибыль), P/B (цена/балансовая стоимость). Отчеты публикуются ежеквартально на сайтах компаний и раскрытиях.",analysis
Что такое IPO и как в них участвовать?,"IPO (первичное размещение акций) - выход компании на биржу. Российские IPO 2024: Ozon, Яндекс, VK. Участие через брокера, который является андеррайтером. Приоритет у клиентов брокера, ведущего размещение. Риски высокой волатильности.",ipo
Какие валютные инструменты самые популярные?,"Валютные пары USD/RUB, EUR/RUB, CNY/RUB, ETF на валюту (FXMM - денежный рынок), валютные облигации. Валютные риски можно хеджировать через фьючерсы и опцины. Долларовые облигации российских компаний также популярны.",currency_instruments
Как работает реинвестирование дивидендов?,"Реинвестирование - покупка дополнительных акций на полученные дивиденды. Стратегия 'снежного кома' - со временем дивидендный поток растет. Многие брокеры предлагают автоматическое реинвестирование. Эффективно при долгосрочном инвестировании.",reinvestment
Какие риски у начинающего инвестора?,"Основные риски: рыночный (падение котировок), валютный (колебания курса), ликвидности (невозможность продать), инфляционный, психологический (паника/жадность). Диверсификация и долгосрочный горизонт снижают риски.",risks
Как выбрать брокера для инвестиций?,"Критерии выбора: надежность (входит в топ-10), комиссии, качество платформы, аналитика, обучение, доступ к иностранным рынкам. Лидеры: Тинькофф Инвестиции, ВТБ, Сбербанк, БКС, Открытие. Открыть счет можно онлайн за 15 минут.",broker_choice
Что такое технический и фундаментальный анализ?,"Технический анализ - изучение графиков и индикаторов (RSI, MACD, скользящие средние). Фундаментальный - анализ финансовых показателей компании, отрасли, экономики. Успешные инвесторы комбинируют оба подхода.",analysis_methods
